Date,Open,High,Low,Close,Volume,AdjClose
3/26/2007,45533,45805,44315,45805,113016000,45805
3/19/2007,42734,45950,42734,45533,146360100,45533
3/12/2007,44133,44406,42051,42730,137008300,42730
3/5/2007,42370,44173,41117,44133,117118800,44133
2/26/2007,46021,46450,42037,42370,158230400,42370
2/21/2007,45849,46752,45558,46016,90395000,46016
2/12/2007,44286,46178,43850,45849,138244700,45849
2/5/2007,44999,45486,44070,44284,112228200,44284
1/29/2007,44414,45212,43508,44998,112873500,44998
1/22/2007,43431,44808,43183,44412,99458000,44412
1/15/2007,43095,43473,42252,43428,61664400,43428
1/8/2007,42249,43188,41266,43095,103752600,43095
1/2/2007,44476,45388,42160,42245,112141200,42245
12/26/2006,43356,44675,43356,44474,87254700,44474
12/18/2006,43596,44048,42891,43356,79258200,43356
12/11/2006,42968,44263,42783,43596,136617300,43596
12/4/2006,41329,43506,41282,42978,84056500,42978
11/27/2006,41758,42175,40428,41327,74316500,41327
11/21/2006,41029,42308,40986,41758,103176200,41758
11/13/2006,40724,41781,40038,41029,104009500,41029
11/6/2006,40437,41813,40322,40720,149348500,40720
10/30/2006,39327,40482,38681,40435,143391100,40435
10/23/2006,38643,39843,38273,39328,102353600,39328
10/16/2006,38852,39446,38440,38643,95935900,38643
10/9/2006,37930,39177,37736,38850,107878500,38850
10/2/2006,36450,38205,36438,37940,141706200,37940
9/25/2006,34803,36570,34127,36449,130951100,36449
9/18/2006,36168,36670,34397,34799,133683200,34799
9/11/2006,36561,36726,35626,36170,120403100,36170
9/4/2006,37330,37739,36495,36558,91808700,36558
8/28/2006,35958,37329,35649,37329,48637800,37329
8/21/2006,37550,37550,35123,35958,0,35958
8/14/2006,36950,38022,36490,37552,0,37552
8/7/2006,37845,38086,36886,36944,0,36944
7/31/2006,37381,38172,36536,37848,0,37848
7/24/2006,35525,37522,35525,37381,0,37381
7/17/2006,35344,37043,34591,35510,0,35510
7/10/2006,36107,36747,35001,35350,0,35350
7/3/2006,36629,37601,35850,36102,0,36102
6/26/2006,34663,37036,34349,36631,0,36631
6/19/2006,34407,34864,33216,34661,0,34661
6/12/2006,35083,35266,32057,34399,0,34399
6/5/2006,37939,37976,34360,35075,0,35075
5/29/2006,38634,38734,36362,37942,0,37942
5/22/2006,37732,38510,34911,38506,0,38506
5/15/2006,39688,40209,37325,37733,0,37733
5/8/2006,41417,42062,40121,40223,0,40223
5/2/2006,40365,41449,40277,41417,0,41417
4/24/2006,39775,40425,39577,40363,0,40363
4/17/2006,38086,40278,38086,39775,0,39775
4/10/2006,38927,38927,37816,38082,0,38082
4/3/2006,37952,39397,37952,38926,0,38926
3/27/2006,37577,38089,36682,37952,0,37952
3/20/2006,38049,38500,37156,37577,0,37577
3/13/2006,36891,38578,36417,38049,0,38049
3/6/2006,39241,39395,36085,36891,0,36891
3/1/2006,38610,39367,38533,39240,0,39240
2/20/2006,38418,38978,37747,38610,0,38610
2/13/2006,36975,38642,35891,38422,0,38422
2/6/2006,37262,37813,36183,36975,0,36975
1/30/2006,37824,38508,36526,37262,0,37262
1/23/2006,36687,38804,36213,37822,0,37822
1/16/2006,35897,36979,35380,36695,0,36695
1/9/2006,35475,36286,34687,35897,0,35897
1/2/2006,33462,35529,32860,35475,0,35475
12/26/2005,33331,33631,32965,33456,0,33456
12/19/2005,33284,33652,32768,33331,0,33331
12/12/2005,32925,33837,32835,33292,0,33292
